,,,,,,,,,,,
,,,,,,,,,,,
Row Labels,Min of PREV.READING,Max of CURRENTREADING,Sum of TOTALKM,,,,,,,,AAA
MH14CW4377,224047,226411,2364,,MH14CW4377,224047,226411,2364,,2364,0
MH14CW4381,134773,140191,5418,,MH14CW4381,134773,140191,5418,,5418,0
MH14CW4456,290916,295325,4409,,MH14CW4456,290916,295325,4409,,4409,0
MH14CW4483,63694,64214,520,,MH14CW4483,63694,64214,520,,520,0
MH14CW4485,54401,56688,2287,,MH14CW4485,54401,56688,2287,,2287,0
MH14CW4609,292697,296497,3800,,MH14CW4609,292697,296497,3800,,3800,0
MH14CW4610,395567,399751,4184,,MH14CW4610,395567,399751,4184,,4184,0
MH14CW4611,443546,449127,5581,,MH14CW4611,443546,449127,5581,,5581,0
MH14CW4612,260154,263125,2971,,MH14CW4612,260154,263125,2971,,2971,0
MH14CW4613,24805,27145,2340,,MH14CW4613,24805,27145,2340,,2340,0
MH14CW4614,281576,287725,6149,,MH14CW4614,281576,287725,6149,,6149,0
MH14CW4615,300325,305305,4980,,MH14CW4615,300325,305305,4980,,4980,0
MH14CW4616,293375,297391,4016,,MH14CW4616,293375,297391,4016,,4016,0
MH14CW4802,480212,486121,5909,,MH14CW4802,480212,486121,5909,,5909,0
MH14CW4805,291903,295191,3288,,MH14CW4805,291903,295191,3288,,3288,0
MH14CW4806,404054,407236,3182,,MH14CW4806,404054,407236,3182,,3182,0
MH14CW4812,559897,562710,2813,,MH14CW4812,559897,562710,2813,,2813,0
MH14CW4813,292140,295219,3079,,MH14CW4813,292140,295219,3079,,3079,0
MH14CW4815,500757,506625,5868,,MH14CW4815,500757,506625,5868,,5868,0
MH14CW4816,301249,305736,4487,,MH14CW4816,301249,305736,4487,,4487,0
MH14CW4820,268369,271127,2758,,MH14CW4820,268369,271127,2758,,2758,0
MH14CW4821,288521,291818,3297,,MH14CW4821,288521,291818,3297,,3297,0
MH14CW4822,480879,486012,5133,,MH14CW4822,480879,486012,5133,,5133,0
MH14CW4823,557026,563105,6079,,MH14CW4823,557026,563105,6079,,6079,0
MH14CW4824,298708,302943,4235,,MH14CW4824,298708,302943,4235,,4235,0
MH14CW4852,87033,90554,3521,,MH14CW4852,87033,90554,3521,,3521,0
MH14DC8528,600,720,120,,MH14DC8528,600,720,120,,120,0
MH14DM8003,292112,294524,2412,,MH14DM8003,292112,294524,2412,,2412,0
MH14GD4456,356020,362799,6779,,MH14GD4456,356020,362799,6779,,6779,0
MH14GD4457,326233,334172,7939,,MH14GD4457,326233,334172,7939,,7939,0
