,,,,,,,,,,,560,215094,217886,2792,2792,0,180,200,0,580,507.6363636363636,9.643095238095238,72.36363636363635,0,17907.272727272728,7091.636363636362,0,0,0,0,0
Sr.No.,Vehicle No.,Seating Cap.,A/C or Non A/C,FUEL,Make,Ownership,Cost Center,Standard Avg.,Fixed Avg.,Meter Remark,Only June 2026 ,Previous KM,Current Km,Total KM,Running KM,KM Comparision,June 2026 Last filling,May 26 Last filling,Stock Remark May 2026,Net Diesel Utilization of June 2026 including Stcok of MAy 26,Actual Diesel required (Ltr),Avg. Recd.,Excess Diesel in Ltr,Stolen Diesel- (Theft Report),Debitable Amount as per standard milage,Debitable Amount After Milage changed,Diesel Debit Amt Given By Manager,Name of The Driver,Remark,Stock in Ltr,Stock Amt
54,MH04MH5572,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,505,30598,32212,1614,1614,0,135,35,,405,403.5,3.9851851851851854,1.5,,147,147,,,,,0
55,MH04MH5573,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,551,31654,33824,2170,2170,0,10,50,,591,542.5,3.6717428087986463,48.5,,4753,4753,,,,,0
56,MH04MH5664,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,670,38314,41075,2761,2761,0,30,75,,715,690.25,3.8615384615384616,24.75,,2425.5,2425.5,,,,,0
57,MH04MH5667,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,600,34074,36505,2431,2431,0,10,25,,615,607.75,3.9528455284552844,7.25,,710.5,710.5,,,,,0
58,MH04MH6301,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,700,24095,26450,2355,2355,0,120,134,,714,588.75,3.2983193277310923,125.25,,12274.5,12274.5,,,,,0
59,MH04MH6304,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,404.73,22000,23363,1363,1363,0,80,80,,404.73,340.75,3.367677216910039,63.98000000000002,,6270.040000000002,6270.040000000002,,,,,0
60,MH04MH6306,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,541,30148,32213,2065,2065,0,10,21,,552,516.25,3.7409420289855073,35.75,,3503.5,3503.5,,,,,0
61,MH04MH6307,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,714,35147,38054,2907,2907,0,20,85,,779,726.75,3.731707317073171,52.25,,5120.5,5120.5,,,,,0
62,MH04MH6308,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,575,31957,34000,2043,2043,0,80,21,,516,510.75,3.9593023255813953,5.25,,514.5,514.5,,,,,0
63,MH04MH6309,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,675,30948,33585,2637,2637,0,60,55,,670,659.25,3.935820895522388,10.75,,1053.5,1053.5,,,,,0
64,MH04MH6311,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,644.4499999999999,28418,30599,2181,2181,0,90.13,35,,589.3199999999999,545.25,3.700875585420485,44.069999999999936,,4318.859999999993,4318.859999999993,,,,,0
65,MH04MH6313,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,1117,46300,50928,4628,4628,0,40,65,,1142,1157,4.052539404553415,-15,,,,,,,,0
66,MH04MH6315,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,568.24,28674,30751,2077,2077,0,97.24,40,,511,519.25,4.064579256360078,-8.25,,,,,,,,0
67,MH04MH6316,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,160,8610,9175,565,565,0,20,30,,170,141.25,3.323529411764706,28.75,,2817.5,2817.5,,,,,0
68,MH04MH6317,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,654.04,34996,37765,2769,2769,0,10,85,,729.04,692.25,3.798145506419401,36.789999999999964,,3605.4199999999964,3605.4199999999964,,,,,0
69,MH04MH6318,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,733,33197,36051,2854,2854,0,85,83,,731,713.5,3.9042407660738716,17.5,,1715,1715,,,,,0
70,MH04MH6320,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,414.36,23685,25281,1596,1596,0,50,30,,394.36,399,4.047063596713662,-4.639999999999986,,,,,,,,0
71,MH04MH6655,27,A/C,Diesel,Eicher A/C,,City Flo,4,4,,660,36065,38776,2711,2711,0,35,70,,695,677.75,3.9007194244604317,17.25,,1690.5,1690.5,,,,,0
72,MH04MR5568,16,A/C,Diesel,Force Urbenia,,City Flo B & V-Thane,10,10,,184.77,7279,8272,993,993,0,65,68.57,,188.34,99.3,5.272379738770309,89.04,,8725.92,8725.92,,,,,
73,MH04MR5569,16,A/C,Diesel,Force Urbenia,,City Flo B & V-Thane,10,10,,212.28000000000003,8995,10396,1401,1401,0,70.92,70,,211.36,140.1,6.628501135503406,71.26000000000002,,6983.480000000002,6983.480000000002,,,,,
74,MH04MR5596,28,A/C,Diesel,Eicher A/C,,City Flo B & V-Thane,4,4,,234.25,10215,11160,945,945,0,91.87,85,,227.38,236.25,4.156038349898848,-8.870000000000005,,,,,,,,
75,MH04MR5597,28,A/C,Diesel,Eicher A/C,,City Flo B & V-Thane,4,4,,396.99,9108,10722,1614,1614,0,78.51,78.82,,397.3,403.5,4.062421344072489,-6.199999999999989,,,,,,,,
76,MH04MR5860,41,A/C,Diesel,Eicher A/C,,City Flo B & V-Thane,3.5,3.5,,565,14810,17203,2393,2393,0,140,130,,555,683.7142857142857,4.311711711711712,-128.71428571428567,,,,,,,,
77,MH04MR5861,41,A/C,Diesel,Eicher A/C,,City Flo B & V-Thane,3.5,3.5,,540,13120,14731,1611,1611,0,40,115,,615,460.2857142857143,2.6195121951219513,154.71428571428572,,15162,15162,,,,,
78,MH04MR5863,41,A/C,Diesel,Eicher A/C,,City Flo B & V-Thane,3.5,3.5,,1039.78,18347,21523,3176,3176,0,100,20,,959.78,907.4285714285714,3.3090916668403176,52.35142857142853,,5130.439999999996,5130.439999999996,,,,,
79,MH04MR5864,41,A/C,Diesel,Eicher A/C,,City Flo B & V-Thane,3.5,3.5,,796.53,15202,17706,2504,2504,0,130,136.72,,803.25,715.4285714285714,3.117335823218176,87.82142857142856,,8606.499999999998,8606.499999999998,,,,,
80,MH04MR5922,41,A/C,Diesel,Eicher A/C,,City Flo B & V-Thane,3.5,3.5,,994.83,18449,21406,2957,2957,0,50,40,,984.8299999999999,844.8571428571429,3.002548663221064,139.97285714285704,,13717.33999999999,13717.33999999999,,,,,
81,MH12KQ0265,44,Non A/C,Diesel,Tata,,TML Pimpri,3.5,3.5,,2001.77,440348,447383,7035,7035,0,140,192,,2053.77,2010,3.4254079083831197,43.76999999999998,,4289.459999999998,4289.459999999998,,,,,0
82,MH12KQ0267,44,Non A/C,Diesel,Tata,,TR Admin,3.5,3.5,,,,,,0,0,,,,0,0,#DIV/0!,0,,,,,,,,0
83,MH12KQ1396,49,Non A/C,Diesel,Tata,,THERMAX,3.5,3.5,,241.15,286360,287210,850,850,0,241.15,237.13,,237.12999999999997,242.85714285714286,3.5845316914772494,-5.727142857142894,,,,,,,,0
84,MH14CW2890,36,Non A/C,Diesel,Tata,,JCB HK,5.5,5.5,,741,464354,468425,4071,4071,0,78,87,,750,740.1818181818181,5.428,9.81818181818187,,962.1818181818232,962.1818181818232,,,,,0
85,MH14CW2893,36,Non A/C,Diesel,Tata,,TML Pimpri,5.5,5.5,,666,371845,375226,3381,3381,0,70,100,,696,614.7272727272727,4.857758620689655,81.27272727272725,,7964.72727272727,7964.72727272727,,,,,0
86,MH14CW2895,36,Non A/C,Diesel,Tata,,TML Pimpri,5.5,5.5,,630,422911,426195,3284,3284,0,100,100,,630,597.0909090909091,5.212698412698413,32.90909090909088,,3225.0909090909063,3225.0909090909063,,,,,0
87,MH14CW2896,36,Non A/C,Diesel,Tata,,TML Pimpri,5.5,5.5,,330,410403,412295,1892,1892,0,30,50,,350,344,5.405714285714286,6,,588,588,,,,,0
88,MH14CW2897,36,Non A/C,Diesel,Tata,,TML Pimpri,5.5,5.5,,662.01,385970,389684,3714,3714,0,107.01,120,,675,675.2727272727273,5.502222222222223,-0.27272727272725206,,,,,,,,0
89,MH14CW2902,36,Non A/C,Diesel,Tata,,TML Pimpri,5.5,5.5,,820.78,393497,397974,4477,4477,0,94.78,116,,842,814,5.317102137767221,28,,2744,2744,,,,,0
90,MH14CW2903,36,Non A/C,Diesel,Tata,,TR Admin,5.5,5.5,,,,,,0,0,,,,0,0,#DIV/0!,0,,,,,,,,0
91,MH14CW2904,36,Non A/C,Diesel,Tata,,K Block,5.5,5.5,,1132.83,396703,402335,5632,5632,0,96,110,,1146.83,1024,4.910928385200945,122.82999999999993,,12037.339999999993,12037.339999999993,,,,,0
92,MH14CW2905,36,Non A/C,Diesel,Tata,,TML Pimpri,5.5,5.5,,1315,552620,558945,6325,6325,0,80,95,,1330,1150,4.7556390977443606,180,,17640,17640,,,,,0
93,MH14CW2906,36,Non A/C,Diesel,Tata,,TML Pimpri,5.5,5.5,,352,379006,380942,1936,1936,0,93,90,,349,352,5.54727793696275,-3,,,,,,,,0
94,MH14CW2908,36,Non A/C,Diesel,Tata,,K Block ,5.5,5.5,,347,351813,353787,1974,1974,0,100,125,,372,358.90909090909093,5.306451612903226,13.090909090909065,,1282.9090909090883,1282.9090909090883,,,,,0
95,MH14CW3071,36,Non A/C,Diesel,Tata,,TML Pimpri,5.5,5.5,,359,87878,89787,1909,1909,0,124,121,,356,347.09090909090907,5.362359550561798,8.909090909090935,,873.0909090909116,873.0909090909116,,,,,0
96,MH14CW3256,36,Non A/C,Diesel,Tata,,K Block,5.5,5.5,,591.04,312462,314765,2303,2303,0,50,50,,591.04,418.72727272727275,3.8965213860314023,172.31272727272722,,16886.647272727267,16886.647272727267,,,,,0
97,MH14CW3260,36,Non A/C,Diesel,Tata,,TML Pimpri,5.5,5.5,,1171.11,432000,437424,5424,5424,0,121.01,104,,1154.1,986.1818181818181,4.699766051468678,167.91818181818178,,16455.981818181815,16455.981818181815,,,,,0
98,MH14CW3266,36,Non A/C,Diesel,Tata,,TML Pimpri,5.5,5.5,,1188,169468,175624,6156,6156,0,117,76,,1147,1119.2727272727273,5.367044463818657,27.727272727272748,,2717.2727272727293,2717.2727272727293,,,,,0
99,MH14CW3580,36,Non A/C,Diesel,Tata,,K Block,5.5,5.5,,660,362909,366324,3415,3415,0,100,119,,679,620.9090909090909,5.029455081001473,58.09090909090912,,5692.909090909094,5692.909090909094,,,,,0
100,MH14CW3581,36,Non A/C,Diesel,Tata,,TML Pimpri,5.5,5.5,,1389.87,81940,88012,6072,6072,0,130.05,123,,1382.82,1104,4.391027031717794,278.81999999999994,,27324.359999999993,27324.359999999993,,,,,0
101,MH14CW3584,36,Non A/C,Diesel,Tata,,TML Pimpri,5.5,5.5,,960,504559,509534,4975,4975,0,120,55,,895,904.5454545454545,5.558659217877095,-9.545454545454504,,,,,,,,0
102,MH14CW3867,35,Non A/C,Diesel,Tata,,K Block,5.5,5.5,,720,99293,102454,3161,3161,0,100,60,,680,574.7272727272727,4.648529411764706,105.27272727272725,,10316.72727272727,10316.72727272727,,,,,0
103,MH14CW4061,36,Non A/C,Diesel,Tata,,TML Pimpri,5.5,5.5,,540,434833,437526,2693,2693,0,140,130,,530,489.6363636363636,5.081132075471698,40.363636363636374,,3955.636363636365,3955.636363636365,,,,,0
104,MH14CW4062,36,Non A/C,Diesel,Tata,,TML Pimpri,5.5,5.5,,338,397629,399425,1796,1796,0,117,120,,341,326.54545454545456,5.266862170087976,14.454545454545439,,1416.5454545454531,1416.5454545454531,,,,,0
105,MH14CW4377,37,Non A/C,Diesel,Tata,,TML Pimpri,5.5,5.5,,440,224047,226411,2364,2364,0,130,120,,430,429.8181818181818,5.497674418604651,0.18181818181818699,,17.818181818182325,17.818181818182325,,,,,0
106,MH14CW4381,37,Non A/C,Diesel,Tata,,K Block,5.5,5.5,,1037.71,134773,140191,5418,5418,0,110,100,,1027.71,985.0909090909091,5.271915229004291,42.619090909090914,,4176.67090909091,4176.67090909091,,,,,0
107,MH14CW4456,41,Non A/C,Diesel,Tata,,Bajaj Waluj,5.5,5.5,,783.1,290916,295325,4409,4409,0,55.1,60,,788,801.6363636363636,5.595177664974619,-13.636363636363626,,,,,,,,0
108,MH14CW4483,47,Non A/C,Diesel,Tata,,Bajaj Waluj,3.5,3.5,,140,63694,64214,520,520,0,75,46,,111,148.57142857142858,4.684684684684685,-37.571428571428584,,,,,,,,0
109,MH14CW4485,47,Non A/C,Diesel,Tata,,TR Admin,3.5,3.5,,615,54401,56688,2287,2287,0,40,,,575,653.4285714285714,3.977391304347826,-78.42857142857144,,,,,,,,0
110,MH14CW4487,47,Non A/C,Diesel,Tata,,TR Admin,3.5,3.5,,,,,,0,0,,,,0,0,#DIV/0!,0,,,,,,,,0
111,MH14CW4490,47,Non A/C,Diesel,Tata,,TR Admin,3.5,3.5,,,,,,0,0,,,,0,0,#DIV/0!,0,,,,,,,,0
112,MH14CW4609,41,Non A/C,Diesel,Tata,,Bajaj Waluj,5.5,5.5,,673,292697,296497,3800,3800,0,58,43,,658,690.9090909090909,5.775075987841945,-32.90909090909088,,,,,,,,0
113,MH14CW4610,41,Non A/C,Diesel,Tata,,TML Pimpri,5.5,5.5,,825,395567,399751,4184,4184,0,130,100,,795,760.7272727272727,5.262893081761006,34.27272727272725,,3358.7272727272707,3358.7272727272707,,,,,0
114,MH14CW4611,41,Non A/C,Diesel,Tata,,TML Pimpri,5.5,5.5,,1091,443546,449127,5581,5581,0,99,113.01,,1105.01,1014.7272727272727,5.050633025945467,90.28272727272724,,8847.70727272727,8847.70727272727,,,,,0
115,MH14CW4612,41,Non A/C,Diesel,Tata,,TML Pimpri,5.5,5.5,,760.27,260154,263125,2971,2971,0,155.27,95,,700,540.1818181818181,4.244285714285715,159.81818181818187,,15662.181818181823,15662.181818181823,,,,,0
116,MH14CW4613,41,Non A/C,Diesel,Tata,,TML Pimpri,5.5,5.5,,472.01,24805,27145,2340,2340,0,93.01,105,,484,425.45454545454544,4.8347107438016526,58.54545454545456,,5737.454545454547,5737.454545454547,,,,,0
